PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;92;5;6;28092005_6_48;2014;1;4;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V
28;92;5;7;28092005_7_8;2014;1;4;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;92;5;8;28092005_8_8;2014;1;4;3;V;3;V;2;V;1;V;1;V;2;V;4;V;4;V;4;V;5;V;3;V;7;V;7;V;6;V;4;V;6;V;7;V;14;V;6;V;19;V;11;V;10;V;11;V;11;V
28;92;5;10;28092005_10_49;2014;1;4;4;V;7;V;8;V;6;V;15;V;8;V;11;V;13;V;13;V;15;V;14;V;2;V;6;V;8;V;6;V;8;V;11;V;8;V;9;V;13;V;11;V;9;V;9;V;8;V
28;92;5;12;28092005_12_8;2014;1;4;5;V;5;V;4;V;3;V;3;V;4;V;6;V;6;V;6;V;7;V;5;V;9;V;9;V;8;V;6;V;8;V;9;V;16;V;8;V;21;V;13;V;12;V;13;V;13;V
28;92;5;14;28092005_14_6;2014;1;4;56;V;71;V;74;V;78;V;75;V;74;V;72;V;72;V;70;V;71;V;76;V;72;V;76;V;75;V;82;V;85;V;84;V;78;V;85;V;66;V;74;V;71;V;67;V;65;V
28;102;1;1;28102001_1_38;2014;1;5;4;V;4;V;4;V;4;V;4;V;4;V;3;V;4;V;4;V;4;V;4;V;4;V;3;V;3;V;4;V;4;V;4;V;4;V;4;V;4;V;3;V;3;V;4;V;4;V
28;102;1;6;28102001_6_48;2014;1;5;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V
28;102;1;7;28102001_7_8;2014;1;5;2;V;1;V;2;V;2;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;2;V;1;V;1;V;2;V;1;V;1;V;2;V;2;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2014;1;5;3;V;2;V;2;V;2;V;1;V;2;V;2;V;2;V;2;V;1;V;2;V;2;V;2;V;3;V;3;V;2;V;2;V;3;V;2;V;2;V;2;V;3;V;2;V;2;V
28;102;1;10;28102001_10_49;2014;1;5;5;V;7;V;10;V;9;V;10;V;11;V;12;V;12;V;11;V;10;V;13;V;18;V;17;V;13;V;17;V;12;V;14;V;13;V;8;V;6;V;9;V;8;V;9;V;10;V
28;102;1;12;28102001_12_8;2014;1;5;6;V;4;V;5;V;5;V;3;V;4;V;5;V;5;V;5;V;4;V;5;V;5;V;4;V;6;V;5;V;4;V;5;V;5;V;4;V;5;V;5;V;5;V;4;V;4;V
28;102;1;14;28102001_14_6;2014;1;5;73;V;78;V;78;V;78;V;76;V;74;V;74;V;76;V;78;V;84;V;87;V;86;V;82;V;78;V;75;V;73;V;71;V;68;V;67;V;62;V;66;V;65;V;67;V;65;V
28;123;2;7;28123002_7_8;2014;1;5;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;123;2;8;28123002_8_8;2014;1;5;4;V;2;V;2;V;2;V;2;V;8;V;8;V;11;V;3;V;7;V;6;V;12;V;10;V;15;V;15;V;12;V;9;V;12;V;20;V;18;V;16;V;8;V;8;V;5;V
28;123;2;10;28123002_10_49;2014;1;5;10;V;9;V;6;V;4;V;6;V;10;V;14;V;10;V;10;V;12;V;16;V;17;V;15;V;8;V;10;V;13;V;14;V;10;V;8;V;9;V;7;V;7;V;8;V;9;V
28;123;2;12;28123002_12_8;2014;1;5;6;V;4;V;4;V;4;V;4;V;10;V;10;V;13;V;5;V;9;V;8;V;15;V;12;V;17;V;18;V;14;V;11;V;14;V;22;V;20;V;18;V;10;V;10;V;7;V
28;123;2;14;28123002_14_6;2014;1;5;59;V;59;V;57;V;58;V;55;V;51;V;52;V;54;V;58;V;58;V;62;V;59;V;61;V;56;V;53;V;51;V;51;V;48;V;41;V;40;V;42;V;47;V;47;V;53;V
28;123;2;14;28123002_14_8;2014;1;5;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;13;2;7;28013002_7_8;2014;1;5;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;1;V;2;V;1;V;2;V;2;V;2;V;3;V;1;V;1;V;1;V
28;13;2;8;28013002_8_8;2014;1;5;6;V;5;V;4;V;3;V;3;V;5;V;7;V;6;V;10;V;11;V;12;V;11;V;11;V;13;V;9;V;15;V;19;V;27;V;33;V;30;V;24;V;11;V;6;V;5;V
28;13;2;10;28013002_10_49;2014;1;5;12;V;12;V;13;V;14;V;13;V;20;V;18;V;10;V;10;V;14;V;21;V;24;V;16;V;27;V;20;V;25;V;25;V;27;V;23;V;23;V;19;V;17;V;13;V;9;V
28;13;2;12;28013002_12_8;2014;1;5;8;V;7;V;6;V;5;V;5;V;7;V;9;V;8;V;12;V;14;V;15;V;14;V;14;V;16;V;11;V;18;V;21;V;30;V;36;V;33;V;29;V;13;V;8;V;7;V
28;13;2;14;28013002_14_6;2014;1;5;69;V;68;V;67;V;68;V;69;V;67;V;61;V;64;V;65;V;66;V;69;V;68;V;65;V;63;V;66;V;55;V;49;V;41;V;28;V;22;V;39;V;53;V;57;V;60;V
28;133;2;7;28133002_7_8;2014;1;5;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;2;V;2;V;3;V;2;V;2;V;2;V;2;V;3;V;3;V;2;V;2;V;2;V;2;V;1;V
28;133;2;8;28133002_8_8;2014;1;5;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;6;V;6;V;9;V;8;V;8;V;7;V;5;V
28;133;2;10;28133002_10_49;2014;1;5;14;V;11;V;12;V;12;V;11;V;12;V;12;V;12;V;17;V;13;V;11;V;11;V;17;V;15;V;10;V;12;V;12;V;11;V;11;V;15;V;17;V;15;V;15;V;17;V
28;133;2;12;28133002_12_8;2014;1;5;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;6;V;3;V;4;V;4;V;6;V;4;V;4;V;4;V;5;V;11;V;11;V;12;V;11;V;11;V;10;V;7;V
28;133;2;14;28133002_14_6;2014;1;5;70;V;69;V;69;V;67;V;66;V;67;V;68;V;75;V;64;V;68;V;79;V;76;V;76;V;73;V;70;V;65;V;59;V;56;V;45;V;38;V;42;V;42;V;40;V;36;V
28;14;2;7;28014002_7_8;2014;1;5;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;14;2;8;28014002_8_8;2014;1;5;8;V;2;V;4;V;3;V;2;V;4;V;3;V;6;V;4;V;5;V;6;V;5;V;7;V;5;V;8;V;7;V;11;V;13;V;8;V;13;V;14;V;10;V;9;V;9;V
28;14;2;10;28014002_10_49;2014;1;5;12;V;17;V;13;V;14;V;14;V;20;V;15;V;15;V;17;V;15;V;20;V;22;V;20;V;15;V;15;V;16;V;15;V;19;V;16;V;14;V;12;V;11;V;11;V;16;V
28;14;2;12;28014002_12_8;2014;1;5;10;V;4;V;6;V;5;V;4;V;6;V;5;V;8;V;6;V;7;V;8;V;7;V;9;V;7;V;10;V;9;V;13;V;15;V;10;V;15;V;16;V;12;V;11;V;11;V
28;14;2;14;28014002_14_6;2014;1;5;71;V;77;V;77;V;78;V;75;V;75;V;75;V;76;V;77;V;81;V;84;V;85;V;83;V;77;V;72;V;66;V;62;V;60;V;62;V;55;V;49;V;61;V;56;V;60;V
28;148;4;7;28148004_7_8;2014;1;5;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;2;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;148;4;8;28148004_8_8;2014;1;5;6;V;4;V;3;V;4;V;7;V;9;V;9;V;9;V;12;V;10;V;10;V;16;V;20;V;15;V;16;V;16;V;23;V;17;V;19;V;25;V;16;V;16;V;10;V;11;V
28;148;4;9;28148004_9_49;2014;1;5;9;V;9;V;8;V;3;V;2;V;3;V;2;V;3;V;3;V;4;V;6;V;13;V;3;V;3;V;4;V;3;V;2;V;3;V;3;V;4;V;5;V;4;V;8;V;8;V
28;148;4;10;28148004_10_49;2014;1;5;13;V;8;V;6;V;7;V;15;V;10;V;15;V;13;V;14;V;9;V;14;V;12;V;19;V;12;V;13;V;11;V;10;V;8;V;14;V;15;V;16;V;9;V;10;V;11;V
28;148;4;12;28148004_12_8;2014;1;5;8;V;6;V;5;V;6;V;9;V;11;V;11;V;11;V;14;V;12;V;12;V;19;V;25;V;18;V;18;V;18;V;26;V;19;V;21;V;27;V;18;V;18;V;12;V;13;V
28;148;4;14;28148004_14_6;2014;1;5;68;V;71;V;71;V;67;V;63;V;60;V;60;V;62;V;62;V;65;V;69;V;66;V;63;V;64;V;61;V;56;V;45;V;48;V;42;V;34;V;43;V;42;V;50;V;45;V
28;16;1;1;28016001_1_38;2014;1;5;5;V;5;V;5;V;5;V;4;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;4;V;5;V;5;V;5;V;5;V;5;V
28;16;1;6;28016001_6_48;2014;1;5;0.3;V;0.4;V;0.4;V;0.3;V;0.3;V;0.4;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V
28;16;1;7;28016001_7_8;2014;1;5;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;16;1;8;28016001_8_8;2014;1;5;1;V;1;V;1;V;3;V;4;V;4;V;4;V;3;V;2;V;3;V;3;V;3;V;2;V;2;V;2;V;3;V;3;V;3;V;3;V;3;V;3;V;2;V;2;V;2;V
28;16;1;9;28016001_9_49;2014;1;5;6;V;4;V;3;V;4;V;5;V;5;V;4;V;4;V;4;V;8;V;11;V;7;V;6;V;7;V;5;V;4;V;3;V;4;V;6;V;5;V;6;V;6;V;5;V;4;V
28;16;1;10;28016001_10_49;2014;1;5;7;V;9;V;10;V;8;V;9;V;12;V;9;V;7;V;8;V;7;V;6;V;7;V;14;V;7;V;6;V;8;V;9;V;10;V;10;V;11;V;10;V;7;V;8;V;7;V
28;16;1;12;28016001_12_8;2014;1;5;3;V;3;V;3;V;5;V;6;V;6;V;6;V;5;V;4;V;5;V;5;V;5;V;4;V;4;V;4;V;5;V;5;V;5;V;5;V;5;V;5;V;4;V;4;V;4;V
28;16;1;14;28016001_14_6;2014;1;5;72;V;74;V;64;V;59;V;60;V;55;V;54;V;53;V;54;V;53;V;53;V;61;V;58;V;59;V;60;V;55;V;53;V;52;V;50;V;55;V;55;V;54;V;57;V;52;V
28;16;1;20;28016001_20_59;2014;1;5;0.5;V;0.5;V;0.6;V;0.7;V;0.8;V;1;V;1;V;0.9;V;0.8;V;0.7;V;0.8;V;0.7;V;0.7;V;0.6;V;0.7;V;0.6;V;0.7;V;0.6;V;0.7;V;0.8;V;0.7;V;0.7;V;0.7;V;0.6;V
28;16;1;30;28016001_30_59;2014;1;5;0.8;V;0.7;V;0.8;V;0.9;V;0.8;V;0.9;V;0.9;V;0.9;V;0.8;V;0.8;V;0.7;V;0.8;V;0.9;V;0.8;V;0.9;V;0.9;V;0.9;V;0.8;V;0.8;V;0.9;V;0.9;V;1;V;1;V;0.9;V
28;16;1;42;28016001_42_2;2014;1;5;6.5;V;6.5;V;6.5;V;6.8;V;6.8;V;6.8;V;6.7;V;6.7;V;6.6;V;6.5;V;6.5;V;6.5;V;6.5;V;6.5;V;6.5;V;6.5;V;6.5;V;6.5;V;6.5;V;6.5;V;6.5;V;6.5;V;6.6;V;6.5;V
28;16;1;44;28016001_44_2;2014;1;5;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V
28;161;1;7;28161001_7_8;2014;1;5;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;2;V;3;V;2;V;2;V;1;V;1;V;1;V;1;V
28;161;1;8;28161001_8_8;2014;1;5;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;6;V;2;V;1;V;1;V;3;V;4;V;15;V;15;V;23;V;18;V;24;V;16;V;13;V;10;V;9;V
28;161;1;9;28161001_9_49;2014;1;5;10;V;7;V;6;V;10;V;9;V;7;V;5;V;4;V;4;V;5;V;7;V;5;V;6;V;8;V;3;V;2;V;3;V;3;V;7;V;11;V;9;V;8;V;12;V;10;V
28;161;1;12;28161001_12_8;2014;1;5;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;5;V;8;V;4;V;3;V;3;V;5;V;6;V;20;V;18;V;28;V;21;V;27;V;18;V;15;V;12;V;11;V
28;161;1;14;28161001_14_6;2014;1;5;74;V;70;V;65;V;73;V;73;V;73;V;73;V;72;V;68;V;68;V;79;V;79;V;75;V;68;V;63;V;55;V;52;V;40;V;43;V;37;V;47;V;49;V;46;V;48;V
28;171;1;1;28171001_1_38;2014;1;5;3;V;3;V;3;V;3;V;4;V;3;V;3;V;3;V;4;V;3;V;3;V;3;V;3;V;3;V;3;V;4;V;4;V;4;V;4;V;3;V;4;V;4;V;4;V;4;V
28;171;1;6;28171001_6_48;2014;1;5;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V
28;171;1;7;28171001_7_8;2014;1;5;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;171;1;8;28171001_8_8;2014;1;5;4;V;4;V;4;V;3;V;3;V;3;V;2;V;3;V;3;V;3;V;3;V;3;V;4;V;4;V;5;V;4;V;4;V;4;V;4;V;4;V;4;V;5;V;4;V;3;V
28;171;1;9;28171001_9_49;2014;1;5;1;V;1;V;1;V;3;V;7;V;4;V;2;V;6;V;7;V;7;V;8;V;15;V;12;V;10;V;6;V;4;V;4;V;6;V;8;V;10;V;9;V;2;V;2;V;8;V
28;171;1;10;28171001_10_49;2014;1;5;16;V;14;V;12;V;15;V;15;V;16;V;18;V;19;V;17;V;17;V;19;V;18;V;17;V;15;V;14;V;14;V;12;V;13;V;16;V;12;V;12;V;13;V;14;V;16;V
28;171;1;12;28171001_12_8;2014;1;5;6;V;6;V;6;V;5;V;5;V;5;V;4;V;5;V;5;V;5;V;5;V;5;V;6;V;6;V;7;V;6;V;6;V;6;V;6;V;6;V;6;V;7;V;6;V;5;V
28;171;1;14;28171001_14_6;2014;1;5;55;V;47;V;45;V;47;V;42;V;47;V;50;V;44;V;51;V;49;V;44;V;50;V;52;V;41;V;45;V;34;V;35;V;30;V;21;V;19;V;25;V;26;V;36;V;36;V
28;180;1;7;28180001_7_8;2014;1;5;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;180;1;8;28180001_8_8;2014;1;5;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;3;V;4;V;3;V;2;V;4;V;6;V;7;V;9;V;9;V;4;V;1;V;1;V;2;V
28;180;1;9;28180001_9_49;2014;1;5;2;V;2;V;5;V;7;V;4;V;3;V;5;V;3;V;2;V;4;V;3;V;3;V;1;V;3;V;8;V;10;V;6;V;1;V;2;V;7;V;9;V;3;V;1;V;4;V
28;180;1;12;28180001_12_8;2014;1;5;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;5;V;5;V;7;V;5;V;4;V;6;V;8;V;9;V;11;V;11;V;6;V;3;V;3;V;4;V
28;180;1;14;28180001_14_6;2014;1;5;83;V;85;V;85;V;85;V;85;V;86;V;85;V;84;V;81;V;90;V;84;V;85;V;83;V;80;V;81;V;76;V;71;V;68;V;62;V;61;V;67;V;71;V;72;V;65;V
28;45;2;6;28045002_6_48;2014;1;5;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.4;V;0.4;V;0.4;V;0.5;V;0.5;V
28;45;2;7;28045002_7_8;2014;1;5;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;5;V;3;V;5;V;5;V;3;V;1;V;6;V;8;V
28;45;2;8;28045002_8_8;2014;1;5;3;V;2;V;5;V;5;V;5;V;5;V;7;V;11;V;11;V;12;V;10;V;12;V;11;V;16;V;19;V;14;V;24;V;22;V;28;V;30;V;24;V;18;V;28;V;28;V
28;45;2;10;28045002_10_49;2014;1;5;13;V;17;V;15;V;14;V;12;V;11;V;9;V;7;V;12;V;14;V;13;V;12;V;24;V;15;V;20;V;23;V;26;V;22;V;17;V;22;V;20;V;15;V;17;V;21;V
28;45;2;12;28045002_12_8;2014;1;5;5;V;4;V;7;V;7;V;7;V;7;V;9;V;13;V;14;V;14;V;12;V;14;V;13;V;19;V;22;V;16;V;32;V;27;V;36;V;38;V;29;V;20;V;37;V;40;V
28;45;2;14;28045002_14_6;2014;1;5;64;V;64;V;56;V;52;V;52;V;53;V;47;V;43;V;45;V;48;V;52;V;51;V;51;V;46;V;42;V;39;V;35;V;39;V;34;V;31;V;34;V;34;V;22;V;20;V
28;47;2;1;28047002_1_38;2014;1;5;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V
28;47;2;7;28047002_7_8;2014;1;5;4;V;2;V;2;V;2;V;2;V;1;V;2;V;1;V;2;V;2;V;2;V;3;V;5;V;4;V;4;V;2;V;10;V;3;V;3;V;12;V;3;V;19;V;20;V;10;V
28;47;2;8;28047002_8_8;2014;1;5;19;V;13;V;9;V;8;V;5;V;4;V;4;V;5;V;8;V;7;V;9;V;16;V;21;V;23;V;18;V;10;V;34;V;15;V;21;V;35;V;24;V;45;V;43;V;31;V
28;47;2;9;28047002_9_49;2014;1;5;1;V;2;V;7;V;3;V;2;V;4;V;2;V;4;V;5;V;4;V;7;V;17;V;15;V;14;V;29;V;24;V;14;V;15;V;23;V;14;V;24;V;20;V;14;V;9;V
28;47;2;12;28047002_12_8;2014;1;5;25;V;16;V;12;V;11;V;8;V;6;V;7;V;7;V;11;V;10;V;12;V;21;V;29;V;29;V;24;V;13;V;49;V;20;V;26;V;53;V;29;V;74;V;74;V;46;V
28;47;2;14;28047002_14_6;2014;1;5;46;V;45;V;47;V;45;V;48;V;57;V;46;V;45;V;42;V;48;V;47;V;41;V;38;V;37;V;43;V;48;V;27;V;36;V;32;V;16;V;27;V;11;V;8;V;13;V
28;47;2;20;28047002_20_59;2014;1;5;1.9;V;1.9;V;2.9;V;1.7;V;3.6;V;1.7;V;2.6;V;1.3;V;1.4;V;1.8;V;2.2;V;3.3;V;2.6;V;3.1;V;2.9;V;1.5;V;1.4;V;3.5;V;2.3;V;2.7;V;1.9;V;4.5;V;3.4;V;4.6;V
28;47;2;30;28047002_30_59;2014;1;5;1.3;V;1.6;V;1.3;V;1.1;V;1.5;V;0.8;V;0.9;V;0.9;V;1.2;V;1.6;V;2.5;V;2.9;V;2.9;V;3;V;2.7;V;1.7;V;1.4;V;3.6;V;2.6;V;2.4;V;1.8;V;3.1;V;1.5;V;3.1;V
28;47;2;42;28047002_42_2;2014;1;5;6.1;V;6.2;V;6.2;V;6.3;V;6.3;V;6.1;V;6.2;V;6.2;V;6.2;V;6.2;V;6.3;V;6.3;V;6.4;V;6.5;V;6.5;V;6.3;V;6.3;V;6.4;V;6.4;V;6.4;V;6.5;V;6.4;V;6.4;V;6.4;V
28;47;2;44;28047002_44_2;2014;1;5;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.5;V;0.6;V;0.6;V;0.5;V;0.5;V;0.6;V;0.5;V;0.5;V;0.6;V;0.5;V;0.5;V;0.5;V
28;49;3;7;28049003_7_8;2014;1;5;3;V;3;V;3;V;2;V;2;V;3;V;3;V;2;V;3;V;3;V;4;V;5;V;5;V;6;V;5;V;4;V;5;V;4;V;5;V;5;V;4;V;4;V;3;V;3;V
28;49;3;8;28049003_8_8;2014;1;5;12;V;9;V;12;V;8;V;8;V;9;V;9;V;10;V;13;V;14;V;16;V;20;V;20;V;22;V;17;V;18;V;25;V;23;V;29;V;35;V;29;V;26;V;17;V;13;V
28;49;3;9;28049003_9_49;2014;1;5;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;49;3;10;28049003_10_49;2014;1;5;16;V;20;V;14;V;15;V;17;V;18;V;18;V;17;V;17;V;24;V;23;V;17;V;28;V;16;V;17;V;16;V;14;V;9;V;34;V;18;V;18;V;24;V;20;V;23;V
28;49;3;12;28049003_12_8;2014;1;5;17;V;14;V;17;V;11;V;11;V;14;V;14;V;13;V;18;V;19;V;22;V;28;V;28;V;31;V;25;V;24;V;33;V;29;V;37;V;43;V;35;V;32;V;22;V;18;V
28;49;3;14;28049003_14_6;2014;1;5;53;V;56;V;53;V;55;V;53;V;52;V;53;V;55;V;53;V;54;V;54;V;54;V;55;V;51;V;52;V;47;V;38;V;36;V;29;V;21;V;26;V;27;V;39;V;42;V
28;5;2;1;28005002_1_38;2014;1;5;7;V;6;V;7;V;7;V;6;V;7;V;9;V;7;V;6;V;6;V;6;V;6;V;6;V;6;V;7;V;8;V;6;V;6;V;7;V;6;V;6;V;6;V;6;V;6;V
28;5;2;6;28005002_6_48;2014;1;5;0.6;V;0.6;V;0.6;V;0.7;V;0.6;V;0.5;V;0.4;V;0.5;V;0.5;V;0.4;V;0.4;V;0.5;V;0.4;V;0.4;V;0.7;V;0.8;V;0.6;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V
28;5;2;7;28005002_7_8;2014;1;5;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;2;V;3;V;3;V;2;V;2;V;2;V;1;V
28;5;2;8;28005002_8_8;2014;1;5;8;V;5;V;4;V;3;V;4;V;5;V;7;V;7;V;6;V;7;V;8;V;8;V;11;V;13;V;11;V;13;V;17;V;18;V;22;V;23;V;20;V;15;V;9;V;12;V
28;5;2;9;28005002_9_49;2014;1;5;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;5;2;10;28005002_10_49;2014;1;5;8;V;7;V;6;V;7;V;10;V;11;V;17;V;12;V;12;V;13;V;16;V;19;V;18;V;15;V;14;V;13;V;10;V;10;V;12;V;15;V;16;V;13;V;10;V;9;V
28;5;2;12;28005002_12_8;2014;1;5;10;V;7;V;6;V;5;V;6;V;7;V;9;V;9;V;8;V;10;V;11;V;11;V;14;V;16;V;14;V;16;V;22;V;21;V;27;V;28;V;23;V;18;V;12;V;14;V
28;5;2;14;28005002_14_6;2014;1;5;66;V;68;V;68;V;70;V;66;V;64;V;60;V;61;V;65;V;68;V;71;V;74;V;70;V;66;V;66;V;60;V;52;V;46;V;41;V;38;V;40;V;47;V;54;V;52;V
28;58;4;7;28058004_7_8;2014;1;5;1;V;6;V;4;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;3;V;2;V;3;V;2;V;4;V;8;V;5;V;2;V;1;V;1;V;1;V
28;58;4;8;28058004_8_8;2014;1;5;1;V;4;V;4;V;1;V;1;V;1;V;1;V;1;V;2;V;4;V;4;V;5;V;7;V;9;V;6;V;8;V;12;V;20;V;25;V;21;V;17;V;7;V;5;V;10;V
28;58;4;10;28058004_10_49;2014;1;5;5;V;7;V;8;V;9;V;11;V;11;V;11;V;12;V;10;V;14;V;16;V;20;V;12;V;14;V;12;V;9;V;6;V;8;V;8;V;5;V;4;V;9;V;10;V;10;V
28;58;4;12;28058004_12_8;2014;1;5;3;V;13;V;10;V;3;V;3;V;3;V;3;V;3;V;4;V;7;V;7;V;8;V;10;V;14;V;9;V;13;V;15;V;26;V;37;V;29;V;20;V;9;V;7;V;12;V
28;58;4;14;28058004_14_6;2014;1;5;62;V;61;V;60;V;62;V;61;V;60;V;61;V;59;V;58;V;59;V;63;V;63;V;58;V;53;V;54;V;47;V;42;V;36;V;32;V;32;V;35;V;46;V;44;V;36;V
28;58;4;20;28058004_20_59;2014;1;5;0.4;V;0.6;V;0.5;V;0.4;V;0.3;V;0.4;V;0.6;V;0.5;V;0.6;V;1;V;0.7;V;1.6;V;0.8;V;1;V;1;V;1.2;V;0.9;V;1;V;1.5;V;2.2;V;2.1;V;1.2;V;0.8;V;0.7;V
28;58;4;30;28058004_30_59;2014;1;5;1.1;V;1.3;V;1;V;1;V;0.5;V;0.8;V;0.8;V;0.7;V;0.7;V;1.1;V;1.2;V;1.5;V;0.9;V;0.8;V;0.4;V;1.2;V;1.4;V;1.5;V;2;V;2.4;V;2.2;V;1.3;V;1.6;V;1;V
28;58;4;42;28058004_42_2;2014;1;5;5.6;V;5.6;V;5.6;V;5.6;V;5.6;V;5.6;V;5.6;V;5.6;V;5.7;V;5.7;V;5.7;V;5.7;V;5.7;V;5.9;V;5.8;V;5.8;V;5.8;V;5.9;V;5.9;V;5.9;V;5.9;V;5.8;V;5.8;V;5.9;V
28;58;4;44;28058004_44_2;2014;1;5;0.2;V;0.2;V;0.2;V;0.2;V;0.1;V;0.1;V;0.2;V;0.1;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.1;V;0.1;V;0.1;V
