PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;92;5;12;28092005_12_8;2015;1;24;266;V;204;V;64;V;64;V;57;V;86;V;135;V;164;V;202;V;118;V;120;V;70;V;55;V;29;V;32;V;31;V;32;V;65;V;132;V;302;V;218;V;193;V;180;V;272;V
28;92;5;14;28092005_14_6;2015;1;24;1;V;1;V;5;V;3;V;8;V;2;V;1;V;1;V;1;V;12;V;16;V;36;V;46;V;64;V;61;V;59;V;49;V;21;V;2;V;1;V;1;V;1;V;1;V;1;V
28;102;1;1;28102001_1_38;2015;1;25;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;6;28102001_6_48;2015;1;25;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.2;V;0.3;V;0.2;V;0.4;V;0.3;V;0.2;V;0.2;V;0.3;V;0.3;V;0.2;V;0.2;V
28;102;1;7;28102001_7_8;2015;1;25;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2015;1;25;7;V;7;V;6;V;4;V;3;V;3;V;3;V;5;V;5;V;5;V;3;V;3;V;2;V;3;V;5;V;6;V;6;V;7;V;7;V;3;V;3;V;3;V;3;V;3;V
28;102;1;10;28102001_10_49;2015;1;25;8;V;2;V;2;V;6;V;3;V;4;V;4;V;4;V;7;V;5;V;9;V;11;V;10;V;7;V;11;V;7;V;5;V;9;V;8;V;11;V;8;V;10;V;1;V;9;V
28;102;1;12;28102001_12_8;2015;1;25;9;V;9;V;8;V;6;V;5;V;5;V;5;V;7;V;7;V;7;V;5;V;5;V;4;V;5;V;7;V;8;V;8;V;9;V;9;V;5;V;5;V;5;V;5;V;5;V
28;102;1;14;28102001_14_6;2015;1;25;76;V;80;V;82;V;82;V;85;V;86;V;87;V;81;V;74;V;67;V;78;V;91;V;98;V;102;V;99;V;96;V;93;V;88;V;85;V;89;V;88;V;90;V;90;V;90;V
28;123;2;7;28123002_7_8;2015;1;25;4;V;2;V;4;V;4;V;7;V;10;V;4;V;8;V;11;V;13;V;4;V;3;V;2;V;4;V;1;V;2;V;2;V;7;V;6;V;10;V;17;V;11;V;6;V;23;V
28;123;2;8;28123002_8_8;2015;1;25;22;V;20;V;11;V;18;V;44;V;53;V;33;V;47;V;37;V;25;V;21;V;19;V;17;V;16;V;11;V;22;V;26;V;36;V;40;V;50;V;59;V;53;V;57;V;62;V
28;123;2;10;28123002_10_49;2015;1;25;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;123;2;12;28123002_12_8;2015;1;25;28;V;23;V;17;V;24;V;55;V;68;V;39;V;59;V;54;V;45;V;27;V;24;V;20;V;22;V;13;V;25;V;29;V;47;V;49;V;65;V;85;V;70;V;66;V;97;V
28;123;2;14;28123002_14_8;2015;1;25;75;V;76;V;79;V;71;V;26;V;11;V;47;V;29;V;20;V;37;V;48;V;64;V;78;V;81;V;88;V;79;V;74;V;60;V;52;V;39;V;25;V;24;V;16;V;4;V
28;123;2;14;28123002_14_6;2015;1;25;81;V;82;V;84;V;76;V;30;V;14;V;52;V;33;V;23;V;40;V;52;V;68;V;82;V;88;V;94;V;85;V;80;V;65;V;58;V;45;V;29;V;28;V;20;V;8;V
28;13;2;7;28013002_7_8;2015;1;25;27;V;31;V;29;V;18;V;19;V;19;V;24;V;28;V;25;V;14;V;14;V;3;V;3;V;2;V;2;V;2;V;2;V;26;V;10;V;3;V;2;V;10;V;6;V;21;V
28;13;2;8;28013002_8_8;2015;1;25;76;V;65;V;57;V;51;V;51;V;50;V;50;V;49;V;41;V;31;V;33;V;17;V;13;V;10;V;12;V;18;V;28;V;87;V;58;V;55;V;39;V;65;V;60;V;73;V
28;13;2;10;28013002_10_49;2015;1;25;26;V;19;V;20;V;16;V;16;V;16;V;14;V;10;V;8;V;11;V;17;V;14;V;12;V;7;V;6;V;8;V;9;V;9;V;24;V;14;V;15;V;18;V;25;V;19;V
28;13;2;12;28013002_12_8;2015;1;25;117;V;113;V;101;V;79;V;80;V;79;V;87;V;92;V;79;V;52;V;54;V;22;V;18;V;13;V;15;V;21;V;31;V;127;V;73;V;60;V;42;V;80;V;69;V;105;V
28;13;2;14;28013002_14_6;2015;1;25;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;12;V;22;V;36;V;67;V;77;V;87;V;88;V;81;V;73;V;27;V;43;V;35;V;45;V;23;V;19;V;7;V
28;133;2;7;28133002_7_8;2015;1;25;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;133;2;8;28133002_8_8;2015;1;25;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;5;V;2;V;1;V;1;V;1;V;1;V;1;V;3;V;2;V;2;V;2;V;1;V;1;V;1;V
28;133;2;10;28133002_10_49;2015;1;25;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;133;2;12;28133002_12_8;2015;1;25;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;10;V;4;V;3;V;3;V;3;V;3;V;3;V;5;V;4;V;4;V;4;V;3;V;3;V;3;V
28;133;2;14;28133002_14_6;2015;1;25;70;V;70;V;70;V;71;V;72;V;75;V;77;V;76;V;77;V;80;V;80;V;88;V;91;V;91;V;91;V;88;V;86;V;83;V;82;V;83;V;82;V;83;V;83;V;84;V
28;14;2;7;28014002_7_8;2015;1;25;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;7;V;14;V;5;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;5;V;1;V
28;14;2;8;28014002_8_8;2015;1;25;2;V;3;V;4;V;3;V;6;V;20;V;22;V;27;V;27;V;30;V;14;V;10;V;7;V;6;V;6;V;8;V;14;V;10;V;22;V;19;V;39;V;53;V;35;V;31;V
28;14;2;10;28014002_10_49;2015;1;25;4;V;6;V;3;V;2;V;6;V;7;V;5;V;5;V;2;V;6;V;34;V;38;V;23;V;13;V;10;V;7;V;5;V;14;V;10;V;7;V;7;V;10;V;13;V;11;V
28;14;2;12;28014002_12_8;2015;1;25;4;V;5;V;6;V;5;V;8;V;22;V;24;V;29;V;38;V;51;V;22;V;13;V;9;V;8;V;8;V;10;V;16;V;12;V;24;V;21;V;42;V;55;V;43;V;33;V
28;14;2;14;28014002_14_6;2015;1;25;75;V;71;V;70;V;71;V;65;V;40;V;27;V;27;V;22;V;29;V;41;V;56;V;68;V;75;V;80;V;82;V;74;V;71;V;57;V;55;V;29;V;15;V;30;V;26;V
28;148;4;7;28148004_7_8;2015;1;25;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;148;4;8;28148004_8_8;2015;1;25;5;V;4;V;3;V;2;V;2;V;4;V;5;V;10;V;24;V;12;V;10;V;8;V;8;V;9;V;6;V;4;V;11;V;17;V;17;V;22;V;36;V;34;V;21;V;18;V
28;148;4;9;28148004_9_49;2015;1;25;5;V;2;V;3;V;2;V;3;V;2;V;3;V;2;V;3;V;4;V;7;V;3;V;5;V;5;V;4;V;2;V;2;V;3;V;7;V;7;V;4;V;7;V;6;V;12;V
28;148;4;10;28148004_10_49;2015;1;25;3;V;7;V;6;V;6;V;3;V;4;V;8;V;5;V;4;V;7;V;6;V;11;V;13;V;6;V;9;V;11;V;9;V;15;V;8;V;7;V;16;V;13;V;14;V;8;V
28;148;4;12;28148004_12_8;2015;1;25;7;V;6;V;5;V;4;V;4;V;6;V;7;V;12;V;29;V;15;V;12;V;10;V;10;V;11;V;8;V;6;V;13;V;19;V;19;V;24;V;38;V;36;V;23;V;20;V
28;148;4;14;28148004_14_6;2015;1;25;75;V;75;V;77;V;80;V;79;V;76;V;75;V;67;V;48;V;56;V;64;V;69;V;71;V;75;V;82;V;84;V;75;V;66;V;67;V;58;V;38;V;34;V;42;V;43;V
28;16;1;1;28016001_1_38;2015;1;25;2;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V
28;16;1;6;28016001_6_48;2015;1;25;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;16;1;7;28016001_7_8;2015;1;25;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;16;1;8;28016001_8_8;2015;1;25;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;2;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V
28;16;1;9;28016001_9_49;2015;1;25;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;3;V;2;V;1;V;1;V;3;V;6;V
28;16;1;10;28016001_10_49;2015;1;25;2;V;4;V;5;V;4;V;9;V;8;V;10;V;4;V;6;V;3;V;1;V;4;V;6;V;5;V;3;V;7;V;4;V;5;V;10;V;3;V;6;V;3;V;11;V;8;V
28;16;1;12;28016001_12_8;2015;1;25;4;V;4;V;4;V;3;V;3;V;3;V;3;V;3;V;3;V;4;V;4;V;3;V;4;V;3;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;3;V;3;V
28;16;1;14;28016001_14_6;2015;1;25;78;V;77;V;78;V;81;V;85;V;85;V;85;V;85;V;86;V;83;V;85;V;85;V;85;V;85;V;85;V;85;V;85;V;86;V;89;V;87;V;89;V;90;V;90;V;92;V
28;16;1;20;28016001_20_59;2015;1;25;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;16;1;30;28016001_30_59;2015;1;25;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;16;1;42;28016001_42_2;2015;1;25;6.2;V;6.2;V;6.2;V;6.2;V;6.2;V;6.2;V;6.2;V;6.3;V;6.2;V;6.2;V;6.2;V;6.3;V;6.2;V;6.2;V;6.2;V;6.2;V;6.2;V;6.2;V;6.2;V;6.2;V;6.2;V;6.2;V;6.2;V;6.3;V
28;16;1;44;28016001_44_2;2015;1;25;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V
28;161;1;7;28161001_7_8;2015;1;25;2;V;5;V;3;V;2;V;1;V;5;V;5;V;15;V;36;V;19;V;3;V;3;V;4;V;4;V;4;V;3;V;1;V;3;V;2;V;5;V;2;V;6;V;5;V;3;V
28;161;1;8;28161001_8_8;2015;1;25;30;V;40;V;24;V;17;V;14;V;24;V;32;V;42;V;49;V;26;V;3;V;2;V;6;V;5;V;11;V;3;V;7;V;45;V;45;V;51;V;32;V;55;V;49;V;40;V
28;161;1;9;28161001_9_49;2015;1;25;4;V;11;V;12;V;2;V;1;V;2;V;6;V;5;V;3;V;3;V;4;V;2;V;3;V;2;V;2;V;4;V;2;V;1;V;2;V;4;V;2;V;12;V;5;V;5;V
28;161;1;12;28161001_12_8;2015;1;25;33;V;48;V;29;V;20;V;16;V;32;V;40;V;65;V;104;V;55;V;8;V;7;V;12;V;11;V;17;V;8;V;9;V;50;V;48;V;59;V;35;V;64;V;57;V;45;V
28;161;1;14;28161001_14_6;2015;1;25;20;V;6;V;18;V;26;V;29;V;11;V;12;V;5;V;6;V;38;V;75;V;75;V;72;V;78;V;73;V;82;V;77;V;37;V;36;V;27;V;43;V;17;V;17;V;13;V
28;171;1;1;28171001_1_38;2015;1;25;2;V;2;V;2;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;171;1;6;28171001_6_48;2015;1;25;0.1;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.1;V;0.1;V;0.1;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V
28;171;1;7;28171001_7_8;2015;1;25;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;171;1;8;28171001_8_8;2015;1;25;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;171;1;9;28171001_9_49;2015;1;25;4;V;7;V;4;V;4;V;7;V;8;V;8;V;8;V;5;V;5;V;8;V;9;V;9;V;5;V;3;V;7;V;7;V;3;V;3;V;3;V;4;V;3;V;2;V;4;V
28;171;1;10;28171001_10_49;2015;1;25;14;V;13;V;15;V;13;V;13;V;13;V;14;V;12;V;12;V;15;V;17;V;23;V;22;V;14;V;12;V;12;V;16;V;16;V;16;V;20;V;17;V;20;V;13;V;15;V
28;171;1;12;28171001_12_8;2015;1;25;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V
28;171;1;14;28171001_14_6;2015;1;25;75;V;71;V;72;V;74;V;78;V;77;V;79;V;79;V;81;V;81;V;85;V;90;V;93;V;92;V;91;V;89;V;87;V;86;V;86;V;84;V;85;V;83;V;86;V;86;V
28;180;1;7;28180001_7_8;2015;1;25;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;3;V;1;V;3;V;1;V
28;180;1;8;28180001_8_8;2015;1;25;6;V;5;V;2;V;1;V;2;V;2;V;5;V;23;V;20;V;15;V;5;V;5;V;3;V;5;V;6;V;7;V;16;V;41;V;21;V;15;V;18;V;10;V;7;V;5;V
28;180;1;9;28180001_9_49;2015;1;25;8;V;7;V;6;V;4;V;4;V;5;V;4;V;4;V;4;V;9;V;11;V;8;V;5;V;7;V;8;V;9;V;12;V;13;V;14;V;13;V;12;V;15;V;15;V;10;V
28;180;1;12;28180001_12_8;2015;1;25;8;V;7;V;4;V;3;V;4;V;4;V;7;V;26;V;25;V;18;V;7;V;7;V;5;V;7;V;8;V;9;V;18;V;44;V;23;V;17;V;23;V;12;V;12;V;7;V
28;180;1;14;28180001_14_6;2015;1;25;53;V;57;V;64;V;65;V;65;V;65;V;57;V;37;V;39;V;55;V;65;V;71;V;75;V;73;V;73;V;74;V;65;V;40;V;51;V;54;V;57;V;65;V;67;V;68;V
28;45;2;6;28045002_6_48;2015;1;25;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.2;V;0.4;V;0.3;V;0.1;V
28;45;2;7;28045002_7_8;2015;1;25;2;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;5;V;8;V;14;V;12;V;9;V;8;V;6;V;5;V;5;V;11;V;16;V;12;V;6;V;8;V;5;V;2;V
28;45;2;8;28045002_8_8;2015;1;25;13;V;7;V;9;V;7;V;10;V;14;V;16;V;20;V;27;V;34;V;46;V;42;V;29;V;23;V;18;V;14;V;16;V;43;V;57;V;73;V;50;V;56;V;34;V;12;V
28;45;2;10;28045002_10_49;2015;1;25;3;V;1;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;12;V;6;V;13;V;10;V;2;V;1;V;1;V;1;V;5;V;7;V;6;V;14;V;5;V;17;V;1;V
28;45;2;12;28045002_12_8;2015;1;25;16;V;9;V;11;V;9;V;12;V;16;V;19;V;23;V;35;V;46;V;67;V;60;V;43;V;35;V;27;V;22;V;24;V;60;V;82;V;91;V;59;V;68;V;42;V;15;V
28;45;2;14;28045002_14_6;2015;1;25;75;V;78;V;78;V;87;V;78;V;76;V;81;V;67;V;69;V;62;V;48;V;58;V;78;V;83;V;89;V;87;V;84;V;68;V;54;V;44;V;53;V;49;V;68;V;85;V
28;47;2;1;28047002_1_38;2015;1;25;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;47;2;7;28047002_7_8;2015;1;25;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;3;V;5;V;4;V;5;V;2;V;3;V;3;V;2;V;3;V;2;V;5;V;2;V;2;V;1;V
28;47;2;8;28047002_8_8;2015;1;25;3;V;2;V;2;V;2;V;1;V;2;V;3;V;5;V;6;V;10;V;12;V;17;V;15;V;15;V;11;V;14;V;18;V;24;V;22;V;20;V;29;V;20;V;13;V;8;V
28;47;2;9;28047002_9_49;2015;1;25;7;V;2;V;14;V;6;V;3;V;7;V;8;V;4;V;2;V;4;V;5;V;3;V;5;V;10;V;11;V;11;V;13;V;12;V;10;V;8;V;16;V;14;V;8;V;3;V
28;47;2;12;28047002_12_8;2015;1;25;5;V;4;V;4;V;4;V;3;V;4;V;5;V;7;V;9;V;15;V;17;V;25;V;21;V;23;V;14;V;19;V;23;V;27;V;27;V;23;V;37;V;23;V;16;V;10;V
28;47;2;14;28047002_14_6;2015;1;25;73;V;75;V;77;V;77;V;78;V;79;V;76;V;73;V;75;V;77;V;76;V;73;V;72;V;69;V;70;V;64;V;60;V;58;V;64;V;69;V;62;V;69;V;76;V;77;V
28;47;2;20;28047002_20_59;2015;1;25;0.3;V;0.3;V;0.2;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.4;V;0.5;V;0.4;V;0.6;V;0.9;V;0.6;V;0.9;V;5.6;V;7.8;V;5.3;V;2.2;V;1.6;V;0.8;V;0.5;V
28;47;2;30;28047002_30_59;2015;1;25;0.7;V;0.7;V;0.7;V;0.7;V;0.6;V;0.6;V;0.6;V;0.7;V;0.6;V;0.9;V;1;V;1;V;1;V;1.1;V;1.2;V;1.3;V;1.5;V;1.7;V;2;V;1.8;V;1.6;V;1.5;V;1.1;V;0.8;V
28;47;2;42;28047002_42_2;2015;1;25;5.6;V;5.6;V;5.6;V;5.6;V;5.6;V;5.6;V;5.6;V;5.6;V;5.6;V;5.6;V;5.7;V;5.7;V;5.7;V;5.7;V;5.7;V;5.7;V;5.7;V;5.8;V;5.7;V;5.7;V;5.7;V;5.7;V;5.6;V;5.6;V
28;47;2;44;28047002_44_2;2015;1;25;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;49;3;7;28049003_7_8;2015;1;25;2;V;2;V;1;V;2;V;2;V;6;V;3;V;5;V;16;V;22;V;20;V;6;V;4;V;8;V;6;V;6;V;6;V;7;V;8;V;8;V;17;V;6;V;22;V;18;V
28;49;3;8;28049003_8_8;2015;1;25;10;V;9;V;8;V;15;V;20;V;42;V;39;V;46;V;66;V;53;V;50;V;22;V;16;V;25;V;19;V;19;V;21;V;28;V;32;V;44;V;74;V;47;V;69;V;75;V
28;49;3;9;28049003_9_49;2015;1;25;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;49;3;10;28049003_10_49;2015;1;25;13;V;17;V;16;V;10;V;9;V;14;V;11;V;11;V;16;V;17;V;20;V;19;V;21;V;17;V;14;V;13;V;14;V;16;V;13;V;16;V;14;V;15;V;14;V;20;V
28;49;3;12;28049003_12_8;2015;1;25;13;V;12;V;10;V;18;V;23;V;51;V;44;V;54;V;91;V;87;V;81;V;31;V;22;V;37;V;28;V;28;V;30;V;39;V;44;V;56;V;100;V;56;V;103;V;103;V
28;49;3;14;28049003_14_6;2015;1;25;69;V;70;V;70;V;61;V;58;V;39;V;44;V;39;V;22;V;32;V;34;V;56;V;69;V;65;V;72;V;71;V;68;V;59;V;57;V;45;V;19;V;33;V;10;V;8;V
28;5;2;1;28005002_1_38;2015;1;25;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;5;V;2;V;1;V;1;V
28;5;2;6;28005002_6_48;2015;1;25;0.5;V;0.5;V;0.4;V;0.4;V;0.4;V;0.5;V;0.6;V;0.7;V;0.7;V;0.7;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.6;V;0.7;V;1.1;V;0.7;V;0.6;V;0.6;V
28;5;2;7;28005002_7_8;2015;1;25;2;V;1;V;1;V;1;V;1;V;1;V;7;V;20;V;46;V;25;V;11;V;5;V;4;V;4;V;1;V;3;V;3;V;4;V;8;V;12;V;90;V;19;V;7;V;13;V
28;5;2;8;28005002_8_8;2015;1;25;15;V;9;V;5;V;7;V;7;V;16;V;45;V;56;V;63;V;53;V;32;V;21;V;17;V;14;V;10;V;12;V;18;V;22;V;43;V;60;V;106;V;80;V;66;V;69;V
28;5;2;9;28005002_9_49;2015;1;25;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;5;2;10;28005002_10_49;2015;1;25;11;V;9;V;8;V;9;V;9;V;6;V;4;V;6;V;8;V;15;V;14;V;9;V;8;V;10;V;9;V;11;V;10;V;15;V;10;V;11;V;18;V;31;V;21;V;16;V
28;5;2;12;28005002_12_8;2015;1;25;18;V;11;V;7;V;9;V;9;V;18;V;56;V;87;V;134;V;91;V;49;V;29;V;23;V;20;V;12;V;17;V;23;V;28;V;55;V;78;V;244;V;109;V;77;V;89;V
28;5;2;14;28005002_14_6;2015;1;25;59;V;68;V;71;V;70;V;72;V;60;V;28;V;11;V;9;V;21;V;43;V;61;V;69;V;74;V;77;V;75;V;67;V;62;V;42;V;23;V;2;V;6;V;13;V;7;V
28;58;4;7;28058004_7_8;2015;1;25;6;V;1;V;1;V;1;V;2;V;3;V;2;V;16;V;17;V;17;V;10;V;5;V;9;V;9;V;7;V;7;V;9;V;10;V;11;V;24;V;20;V;13;V;6;V;5;V
28;58;4;8;28058004_8_8;2015;1;25;65;V;35;V;44;V;30;V;42;V;43;V;44;V;77;V;69;V;46;V;32;V;20;V;33;V;38;V;35;V;39;V;53;V;75;V;88;V;114;V;113;V;111;V;79;V;85;V
28;58;4;10;28058004_10_49;2015;1;25;15;V;14;V;6;V;13;V;5;V;13;V;16;V;5;V;17;V;17;V;21;V;15;V;14;V;15;V;12;V;13;V;11;V;12;V;12;V;19;V;25;V;19;V;15;V;14;V
28;58;4;12;28058004_12_8;2015;1;25;74;V;37;V;46;V;32;V;45;V;48;V;47;V;102;V;95;V;72;V;47;V;28;V;47;V;52;V;46;V;50;V;67;V;90;V;105;V;151;V;144;V;131;V;88;V;93;V
28;58;4;14;28058004_14_6;2015;1;25;30;V;57;V;44;V;53;V;37;V;42;V;46;V;20;V;27;V;47;V;57;V;72;V;70;V;69;V;69;V;68;V;61;V;39;V;27;V;10;V;13;V;13;V;30;V;19;V
28;58;4;20;28058004_20_59;2015;1;25;1.2;V;0.5;V;0.4;V;1;V;1.2;V;1.3;V;0.15;N;0.1;N;0.1;N;0.1;N;0.1;N;0.1;N;0.1;N;0.1;N;0.1;N;0.1;N;0.1;N;0.1;N;0.1;N;0.1;N;0.1;N;;N;0.1;N;0.1;N
28;58;4;30;28058004_30_59;2015;1;25;1;V;0.3;V;0.2;V;0.1;V;0.5;V;0.1;V;0.1;N;0.1;N;0.1;N;0.1;N;0.1;N;0.1;N;0.1;N;0.1;N;0.1;N;0.1;N;0.1;N;0.1;N;0.1;N;0.1;N;0.1;N;;N;0.1;N;0.1;N
28;58;4;42;28058004_42_2;2015;1;25;5.1;V;4.9;V;5.1;V;5;V;5.2;V;5.1;V;5.1;V;5.3;V;5.4;V;5.3;V;5.3;V;5;V;5.1;V;5;V;5;V;5;V;4.9;V;5;V;5;V;5.2;V;5.2;V;5.2;V;5.1;V;5.3;V
28;58;4;44;28058004_44_2;2015;1;25;0.3;V;0.2;V;0.3;V;0.2;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.4;V;0.3;V;0.4;V;0.3;V;0.4;V
28;6;4;7;28006004_7_8;2015;1;25;2;V;2;V;1;V;2;V;2;V;3;V;6;V;16;V;41;V;14;V;6;V;6;V;5;V;5;V;4;V;4;V;4;V;4;V;5;V;8;V;5;V;5;V;4;V;5;V
28;6;4;8;28006004_8_8;2015;1;25;8;V;5;V;4;V;9;V;17;V;34;V;54;V;76;V;84;V;40;V;17;V;17;V;14;V;13;V;13;V;13;V;18;V;27;V;44;V;64;V;33;V;39;V;30;V;51;V
28;6;4;10;28006004_10_49;2015;1;25;7;V;3;V;1;V;2;V;4;V;3;V;8;V;10;V;16;V;15;V;4;V;7;V;2;V;3;V;6;V;3;V;3;V;7;V;6;V;12;V;10;V;7;V;10;V;20;V
28;6;4;12;28006004_12_8;2015;1;25;11;V;8;V;6;V;12;V;20;V;39;V;63;V;101;V;147;V;61;V;26;V;26;V;22;V;21;V;19;V;19;V;24;V;33;V;52;V;76;V;41;V;47;V;36;V;59;V
28;6;4;14;28006004_14_6;2015;1;25;71;V;74;V;76;V;70;V;58;V;40;V;22;V;8;V;13;V;49;V;68;V;70;V;75;V;76;V;77;V;74;V;70;V;62;V;47;V;32;V;52;V;45;V;49;V;30;V
